DBN,School Name,Category,Year,Total Enrollment,#Grade 9,#Grade 10,#Grade 11,#Grade 12,#Female,%Female,#Male,%Male,#Asian,%Asian,#Black,%Black,#Hispanic,%Hispanic,#Other,%Other,#White,%White,#ELL Spanish,%ELL Spanish,#ELL Chinese,%ELL Chinese,#ELL Bengali,%ELL Bengali,#ELL Arabic,%ELL Arabic,#ELL Haitian Creole,%ELL Haitian Creole,#ELL French,%ELL French,#ELL Russian,%ELL Russian,#ELL Korean,%ELL Korean,#ELL Urdu,%ELL Urdu,#ELL Other,%ELL Other,ELA #Test Takers,ELA #Level 1,ELA %Level 1,ELA #Level 2,ELA %Level 2,ELA #Level 3,ELA %Level 3,ELA #Level 4,ELA %Level 4,ELA #L3+L4,ELA %L3+L4,Math #Test Takers,Math #Level 1,Math %Level 1,Math #Level 2,Math %Level 2,Math #Level 3,Math %Level 3,Math #Level 4,Math %Level 4,Math #L3+L4,Math %L3+L4,%Minority
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION AR,All Students,2017-18,338,87,94,84,73,159,47.0%,179,53.0%,16,,159,0.47,146,0.43200000000000005,7,2.1%,10,3.0%,,,,,,,,,,,,,,,,,,,,,45,12,26.7%,22,48.9%,,,,,,,46,32,69.6%,12,26.1%,,,,,,,0.902
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,All Students,2017-18,831,213,202,193,223,565,68.0%,266,32.0%,89,,123,0.14800000000000002,291,0.35,26,3.1%,302,36.3%,,,,,,,,,,,,,,,,,,,,,175,7,4.0%,29,16.6%,75,42.9%,64,36.6%,139,79.4%,115,12,10.4%,53,46.1%,40,34.8%,10,8.7%,50,43.5%,0.498
28Q350,JAMAICA GATEWAY TO THE SCIENCES,All Students,2017-18,511,135,131,123,122,268,52.4%,243,47.6%,200,,186,0.364,67,0.131,45,8.8%,13,2.5%,,,,,,,,,,,,,,,,,,,,,100,23,23.0%,38,38.0%,24,24.0%,15,15.0%,39,39.0%,72,30,41.7%,27,37.5%,,,,,,,0.495
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,All Students,2017-18,2084,524,453,466,641,438,21.0%,1646,79.0%,762,,91,0.044000000000000004,938,0.45,87,4.2%,206,9.9%,,,,,,,,,,,,,,,,,,,,,471,38,8.1%,73,15.5%,221,46.9%,139,29.5%,360,76.4%,365,48,13.2%,77,21.1%,146,40.0%,94,25.8%,240,65.8%,0.494
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,All Students,2017-18,442,110,115,104,113,250,56.6%,192,43.4%,124,,70,0.158,146,0.33,19,4.3%,83,18.8%,,,,,,,,,,,,,,,,,,,,,102,,,,,36,35.3%,59,57.8%,95,93.1%,71,,,,,29,40.8%,29,40.8%,58,81.7%,0.488
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,All Students,2017-18,1091,254,290,292,255,516,47.3%,575,52.7%,108,,36,0.033,490,0.449,10,0.9%,447,41.0%,,,,,,,,,,,,,,,,,,,,,208,27,13.0%,83,39.9%,77,37.0%,21,10.1%,98,47.1%,189,62,32.8%,84,44.4%,33,17.5%,10,5.3%,43,22.8%,0.482
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,All Students,2017-18,756,218,192,185,161,344,45.5%,412,54.5%,273,,96,0.127,264,0.349,22,2.9%,101,13.4%,,,,,,,,,,,,,,,,,,,,,168,32,19.0%,72,42.9%,53,31.5%,11,6.5%,64,38.1%,154,52,33.8%,63,40.9%,22,14.3%,17,11.0%,39,25.3%,0.476
02M414,N.Y.C. MUSEUM SCHOOL,All Students,2017-18,450,120,118,97,115,268,59.6%,182,40.4%,131,,61,0.136,152,0.33799999999999997,21,4.7%,85,18.9%,,,,,,,,,,,,,,,,,,,,,106,7,6.6%,15,14.2%,44,41.5%,40,37.7%,84,79.2%,82,11,13.4%,18,22.0%,34,41.5%,19,23.2%,53,64.6%,0.474
15K592,KHALIL GIBRAN INTERNATIONAL ACADEMY,All Students,2017-18,270,81,82,48,59,129,47.8%,141,52.2%,48,,105,0.389,21,0.078,13,4.8%,83,30.7%,,,,,,,,,,,,,,,,,,,,,39,16,41.0%,12,30.8%,,,,,,,44,23,52.3%,15,34.1%,,,,,,,0.467
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ART,All Students,2017-18,621,169,163,147,142,324,52.2%,297,47.8%,163,,52,0.084,238,0.38299999999999995,31,5.0%,137,22.1%,,,,,,,,,,,,,,,,,,,,,147,20,13.6%,59,40.1%,52,35.4%,16,10.9%,68,46.3%,124,46,37.1%,65,52.4%,,,,,,,0.46699999999999997
