DBN,School Name
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOA
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIEN
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD S
29Q313,BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANCE & INFORM
29Q327,EAGLE ACADEMY FOR YOUNG MEN III
29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNE"
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL
30Q258,ENERGY TECH HIGH SCHOOL
30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA"
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL
30Q450,LONG ISLAND CITY HIGH SCHOOL
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL
30Q555,NEWCOMERS HIGH SCHOOL
30Q575,ACADEMY OF AMERICAN STUDIES
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION
31R028,THE EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL
31R080,THE MICHAEL J. PETRIDES SCHOOL
31R440,NEW DORP HIGH SCHOOL
31R445,PORT RICHMOND HIGH SCHOOL
31R450,CURTIS HIGH SCHOOL
31R455,TOTTENVILLE HIGH SCHOOL
31R470,CONCORD HIGH SCHOOL
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL
32K168,THE BROOKLYN SCHOOL FOR MATH AND RESEARCH
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE - BUSHWICK
32K549,THE BROOKLYN SCHOOL FOR SOCIAL JUSTICE
32K552,THE ACADEMY OF URBAN PLANNING AND ENGINEERING
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLEN
32K564,BUSHWICK COMMUNITY HIGH SCHOOL
